,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
18,0.6511627906976742,0.43000000000000016,0.8835616438356166,0.8242424242424242,0.8181818181818181,0.4150943396226414,0.5,0.0,0.6909090909090909,1.0,1.0,0.0
19,0.8837209302325584,0.7999999999999998,0.8287671232876712,0.6484848484848484,0.5082644628099173,0.6729559748427674,0.66,0.0,0.44545454545454577,0.0,1.0,1.0
20,0.7751937984496124,0.8300000000000001,0.9726027397260273,0.709090909090909,0.6322314049586777,0.8364779874213837,0.97,0.25,0.7454545454545456,1.0,1.0,0.0
21,0.8527131782945738,0.7599999999999998,0.6643835616438354,0.6969696969696968,0.8016528925619835,0.7044025157232703,0.8925,0.224375,0.627272727272727,0.0,1.0,1.0
22,0.0,0.5,0.5616438356164384,0.7272727272727271,0.7396694214876034,0.4968553459119498,0.6425,0.083125,0.5454545454545454,0.0,0.0,0.0
23,0.6279069767441863,0.6000000000000001,0.7945205479452055,0.8666666666666667,0.8553719008264462,0.7484276729559749,0.9,0.125,0.5636363636363635,1.0,1.0,1.0
24,0.6976744186046511,0.4700000000000002,0.5890410958904111,0.0,0.0,0.056603773584905426,0.7425,0.10875,0.13636363636363624,1.0,1.0,0.0
25,0.8372093023255816,0.6299999999999999,0.952054794520548,0.5939393939393938,0.8016528925619835,0.8930817610062896,0.9375,0.25,0.7363636363636363,1.0,0.0,1.0
26,0.6666666666666665,0.75,0.897260273972603,0.8727272727272726,0.7355371900826446,0.0,0.5,0.133125,0.6727272727272728,1.0,1.0,0.0
27,0.7596899224806202,0.2999999999999998,1.0,0.7454545454545456,0.5330578512396695,0.2955974842767295,0.81,0.16125,0.6454545454545455,1.0,1.0,0.0
28,0.5968992248062017,0.5499999999999998,0.6849315068493151,0.709090909090909,0.7933884297520661,0.28301886792452824,0.25,0.125,0.6363636363636362,1.0,0.0,0.0
29,0.6511627906976742,0.33000000000000007,0.897260273972603,0.7757575757575759,0.9049586776859504,0.4150943396226414,0.645,0.135625,0.6727272727272728,1.0,1.0,0.0
30,0.5348837209302326,0.3999999999999999,0.5890410958904111,0.6363636363636362,0.7933884297520661,0.6855345911949686,0.875,0.225,0.5454545454545454,1.0,1.0,1.0
31,0.8449612403100772,0.7000000000000002,0.8219178082191783,0.7575757575757578,0.8264462809917357,0.7358490566037736,0.9,0.21875,0.4545454545454546,0.0,1.0,0.0
32,0.8914728682170541,0.8500000000000001,1.0,0.9272727272727272,0.8636363636363635,0.89937106918239,0.9,0.25,0.8545454545454545,1.0,1.0,0.0
33,0.8914728682170541,0.6800000000000002,1.0,0.9515151515151516,0.8966942148760331,0.591194968553459,0.5,0.125,0.8636363636363638,1.0,1.0,1.0
34,0.7209302325581395,0.7999999999999998,1.0,0.8727272727272726,0.9586776859504131,0.6289308176100628,0.625,0.109375,0.8545454545454545,1.0,1.0,1.0
35,0.2790697674418605,0.6299999999999999,0.8493150684931505,0.9090909090909092,0.8223140495867769,0.28930817610062887,0.4775,0.073125,0.6454545454545455,0.0,0.0,0.0
36,0.5348837209302326,0.5,0.5,0.624242424242424,0.6900826446280992,0.13836477987421358,0.0,0.0,0.418181818181818,1.0,1.0,1.0
37,0.5348837209302326,0.6000000000000001,0.897260273972603,0.7454545454545456,0.8636363636363635,0.5597484276729556,0.6675,0.0,0.09090909090909083,0.0,0.0,1.0
38,0.9534883720930232,0.7599999999999998,1.0,0.8787878787878789,0.9338842975206612,0.9371069182389937,0.96,0.24,0.8999999999999999,0.0,0.0,0.0
39,0.7596899224806202,0.6299999999999999,0.9178082191780823,0.9090909090909092,0.8966942148760331,0.4779874213836477,0.9175,0.1875,0.7818181818181817,1.0,0.0,0.0
40,0.6666666666666665,0.5800000000000001,0.9657534246575343,0.5212121212121212,0.8553719008264462,0.32704402515723263,0.45,0.15625,0.5636363636363635,1.0,1.0,0.0
41,0.7054263565891472,0.8999999999999999,0.8561643835616439,0.8363636363636364,0.6322314049586777,0.4779874213836477,0.75,0.125,0.6999999999999997,1.0,0.0,0.0
42,0.7596899224806202,0.8799999999999999,0.9726027397260273,0.8484848484848486,0.8966942148760331,0.9685534591194971,0.5825,0.0,0.8181818181818179,1.0,0.0,1.0
43,0.7596899224806202,0.75,0.8561643835616439,0.7999999999999998,0.8471074380165289,0.6163522012578615,0.3325,0.15625,0.7636363636363637,0.0,0.0,0.0
44,0.7751937984496124,0.7000000000000002,0.9315068493150682,0.7878787878787876,0.834710743801653,0.232704402515723,0.5825,0.083125,0.6545454545454548,1.0,1.0,0.0
45,0.9147286821705429,0.5699999999999998,0.8835616438356166,0.8848484848484848,1.0,0.9245283018867925,0.47,0.21875,0.8272727272727272,0.0,1.0,0.0
46,0.7751937984496124,0.7799999999999998,0.9452054794520546,0.7575757575757578,0.6115702479338843,0.6981132075471699,0.625,0.083125,0.6909090909090909,1.0,1.0,0.0
47,0.8604651162790695,0.6000000000000001,0.8287671232876712,0.7272727272727271,0.7809917355371903,0.6352201257861636,0.85,0.2125,0.6363636363636362,0.0,0.0,1.0
