P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Responden
-1.2993,-0.8322,-0.2013,-0.342,-0.0289,0.2195,0.6933,0.7209,0.7851,-1.2877,1.0,1.1547,R74
0.6211,0.4949,0.0775,0.6577,0.4951,0.2576,0.7067,0.6236,0.1368,-1.2877,-1.0,1.1547,R75
0.7308,0.7045,0.6352,0.4473,0.6698,0.6769,0.7736,0.6431,0.569,-1.2877,-1.0,-0.866,R76
-1.025,-0.5528,-0.7589,-0.3946,0.0584,0.2195,0.5729,0.5653,-0.0072,0.7766,-1.0,1.1547,R77
0.1821,0.3552,0.3006,0.1842,0.1894,0.2957,0.6398,0.6139,0.1368,-1.2877,-1.0,-0.866,R78
0.6211,0.4949,0.4121,0.342,0.2768,0.4482,0.7736,0.6723,0.569,0.7766,-1.0,1.1547,R79
0.6211,0.7743,0.3564,0.2894,0.5388,0.5244,0.7736,0.6626,0.569,0.7766,1.0,1.1547,R80
0.1272,0.4949,0.0775,0.342,0.5388,0.6387,0.7736,0.6626,0.3529,-1.2877,-1.0,1.1547,R81
0.7308,0.4949,-0.2013,0.1842,0.0584,0.4482,0.7067,0.6626,0.2089,0.7766,-1.0,-0.866,R82
0.1821,0.006,0.3564,0.6051,0.4951,0.6006,0.8272,0.7404,0.8571,0.7766,1.0,1.1547,R83
0.6211,-0.2036,-0.034,0.1842,0.4514,0.5625,0.7736,0.6917,0.7851,0.7766,1.0,-0.866,R84
0.6759,0.8442,0.3564,0.342,0.5388,0.6387,0.7736,0.6917,0.4249,0.7766,1.0,1.1547,R85
0.6211,0.8442,0.3564,0.1842,0.4951,0.6387,0.7736,0.7112,0.641,0.7766,1.0,1.1547,R86
-0.9153,-0.2036,0.0775,0.0789,0.0584,0.6006,0.8272,0.7112,0.569,0.7766,-1.0,-0.866,R87
0.6211,0.8442,0.914,0.1842,0.1894,0.4863,0.7736,0.7112,0.7851,0.7766,1.0,1.1547,R88
0.7308,0.7045,0.3564,0.6051,0.7135,0.7531,0.8138,0.7015,0.713,0.7766,1.0,1.1547,R89
-0.9153,-1.6006,-2.153,-0.6577,0.2331,0.2195,0.613,0.575,-1.2316,-1.2877,1.0,1.1547,R90
0.6759,0.4949,0.6352,0.4473,0.6261,0.5244,0.7067,0.5945,-0.1513,0.7766,-1.0,-0.866,R91
0.6759,0.1457,0.3564,-0.8682,0.0584,0.2957,0.6398,0.5945,-0.7995,0.7766,1.0,1.1547,R92
-1.7383,-1.2513,-0.2013,-1.1313,-0.5966,-0.0855,0.5193,0.4485,-1.0876,0.7766,-1.0,-0.866,R93
-2.0126,-1.6006,-1.0377,-0.7104,-0.6403,-0.2761,0.5729,0.5264,-1.2316,0.7766,-1.0,-0.866,R94
0.1821,0.4949,-0.4801,-0.0789,0.4951,0.1051,0.6933,0.5945,0.0648,-1.2877,1.0,1.1547,R95
0.4565,0.7045,0.1891,-0.342,0.0584,0.0289,0.6398,0.6139,-0.4394,0.7766,-1.0,-0.866,R96
0.1821,0.8442,0.3564,0.1842,0.0584,0.2957,0.7736,0.5945,0.569,-1.2877,1.0,-0.866,R97
0.1821,0.4949,-0.034,0.4473,0.2768,0.2195,0.6398,0.6431,-0.0072,0.7766,1.0,1.1547,R98
0.6211,0.4949,0.6352,0.4473,0.6698,0.6769,0.7736,0.7209,0.4249,0.7766,-1.0,-0.866,R99
0.4565,0.3552,0.0775,0.2368,-0.1599,0.1051,0.7067,0.6917,0.2089,0.7766,-1.0,-0.866,R100
0.4565,0.1457,-0.2013,-0.342,0.2768,0.1051,0.7067,0.6236,-0.1513,0.7766,-1.0,-0.866,R101
0.6759,0.4949,0.0775,-0.0789,0.2331,0.41,0.7736,0.6139,0.2089,-1.2877,-1.0,-0.866,R102
0.4565,0.8442,0.0775,0.9735,0.4951,0.2957,0.5729,0.5945,0.1368,0.7766,-1.0,1.1547,R103
0.4565,-0.5528,-0.3128,0.0789,0.4078,0.2957,0.7469,0.6917,0.0648,0.7766,-1.0,-0.866,R104
0.1272,0.3552,0.0775,-0.0789,0.2768,0.4863,0.7067,0.6723,0.2089,0.7766,1.0,1.1547,R105
0.1821,0.4949,-0.4801,-0.0789,0.2768,0.1051,0.6532,0.6236,-0.0072,0.7766,-1.0,-0.866,R106
0.1821,0.4949,-0.2013,0.1842,0.0584,-0.0855,0.787,0.6236,-0.2953,-1.2877,1.0,-0.866,R107
0.0175,0.1457,0.2448,0.342,0.4951,0.6006,0.7736,0.7015,0.2089,0.7766,1.0,1.1547,R108
0.1821,0.4949,0.2448,0.4999,0.4514,0.2957,0.7335,0.682,0.2809,0.7766,1.0,1.1547,R109
0.5113,0.7045,0.3564,0.3946,0.5825,0.6006,0.7736,0.7112,0.569,0.7766,-1.0,-0.866,R110
0.1821,-0.2036,-0.4801,-0.1842,-0.1599,0.1051,0.7067,0.6626,0.0648,0.7766,1.0,-0.866,R111
0.6211,0.4949,0.5237,0.5525,0.7135,0.6387,0.8004,0.6917,0.4249,0.7766,-1.0,1.1547,R112
0.4565,0.1457,-0.2013,0.1842,0.0584,0.2195,0.7067,0.5945,0.2089,0.7766,-1.0,1.1547,R113
0.1821,0.006,0.3564,0.342,0.4951,0.41,0.787,0.7209,0.569,0.7766,-1.0,1.1547,R114
0.6211,0.4949,0.2448,0.4473,0.5388,0.4482,0.7469,0.6917,0.2809,0.7766,1.0,1.1547,R115
0.5113,-0.0639,0.0775,0.342,0.2768,0.4863,0.7469,0.7112,0.569,0.7766,1.0,-0.866,R116
-0.0922,0.006,0.0775,-0.0789,0.1458,0.2195,0.6398,0.5847,-0.1513,0.7766,1.0,-0.866,R117
